trait,PC1,PC2,PC3,PC4,PC5
zealous,-0.7799663,-0.33463013,-0.1637152,0.09309315,0.09473956
wry,-0.6109445,-0.37377977,-0.013314034,-0.05468756,0.45266858
witty,-0.5201757,-0.48372164,-0.023012016,0.07414201,0.19087519
whimsical,-0.76749384,-0.38599974,-0.13455376,-0.10360576,0.06581412
visceral,-0.718909,-0.48448402,0.0599472,0.060679168,-0.060564093
verbose,-0.1568246,0.026984304,0.10644396,-0.094454944,0.24600549
utilitarian,0.39873496,0.34434855,0.13368437,-0.15187477,0.21886034
urgent,-0.3451663,-0.044641647,0.14876473,-0.041890986,0.30383667
universalist,-0.5381298,0.2129451,-0.014046691,0.03214004,0.083404556
understated,0.1562287,0.10246911,0.36105776,-0.22255638,-0.23905435
transparent,0.7948706,0.0260192,0.14432146,-0.05632537,0.16757831
traditional,0.18015352,0.14916143,0.11355915,-0.19479656,-0.11106612
theoretical,-0.24453853,0.19897382,-0.5108757,0.2116956,0.1566343
theatrical,-0.44110334,-0.49605653,-0.24616393,-0.18228087,0.1261666
temperamental,-0.6191158,-0.46014187,0.17468046,-0.11214731,0.16386718
technical,0.32469794,0.31290326,-0.1532299,-0.32430917,0.40990454
tactful,0.30741793,0.2877248,0.067386314,-0.088669226,-0.36418015
systems_thinker,0.14857788,0.11568247,-0.29380676,0.2819903,0.16728169
sycophantic,-0.40684807,-0.39660665,0.17243753,0.020029163,-0.27068964
supportive,0.19924766,0.1789859,0.052720815,0.0869901,-0.19540772
subversive,-0.36139205,-0.52255857,-0.2895471,0.2987114,0.027115053
submissive,0.10212031,-0.396425,0.1944869,-0.019170828,-0.51078063
structuralist,0.743175,0.3830143,-0.22054002,0.0022876123,0.23069605
stream_of_consciousness,-0.62108755,-0.4850606,4.230067e-05,0.06812351,-0.018523043
strategic,0.51213855,0.14758845,-0.3071143,0.12912998,0.18904747
stoic,0.3428751,0.7057413,-0.1500615,-0.21466056,0.20889251
spontaneous,-0.6984235,-0.44180548,-0.11045906,-0.00933614,0.0038144365
spiritual,-0.6942564,-0.17812061,-0.43864954,0.17162651,-0.17618187
speculative,-0.29511273,0.0709245,-0.07283285,0.18554942,0.044828262
specialized,0.11528091,0.2828976,-0.20774406,-0.24208236,0.4741307
solemn,0.49362665,0.55964863,-0.40273342,0.06036122,-0.14323293
socratic,0.3204683,-0.49064663,0.022320494,-0.029490203,-0.44282195
skeptical,0.68138367,-0.13575503,-0.33243817,0.104390286,0.15627865
serious,0.46912637,0.6713509,-0.26498118,-0.08819463,-0.0042053815
serene,0.39489925,0.50176954,-0.32033846,-0.013788426,-0.3285189
secular,0.33800328,0.23830718,0.30771858,-0.2062802,-0.015710209
savage,-0.54048324,-0.2797138,-0.04897991,0.095528714,0.42792395
sassy,-0.6143223,-0.31644854,0.009801375,0.12431498,0.442941
sardonic,-0.65925735,-0.40575963,0.0021094363,-0.00041817315,0.40486613
sarcastic,-0.6722216,-0.39594233,0.023032391,0.026984185,0.38669607
romantic,-0.87795603,-0.2195035,-0.21277167,0.03228697,-0.11623414
ritualistic,0.16376159,0.37243655,-0.41300097,-0.27735645,0.058417566
risk_taking,-0.5772217,-0.26173654,-0.1547242,0.18128026,0.06790428
rhetorical,-0.6741887,-0.27052316,-0.2656078,0.17653693,0.037819758
reverent,0.030503118,0.38859418,-0.480686,-0.097132094,-0.17665392
resilient,0.60384506,0.39349973,-0.23909666,0.020515988,-0.109898366
reserved,0.3768238,0.60770667,0.037813574,-0.12773782,0.022904113
relativist,-0.4267434,0.008248225,0.059467778,0.07794936,-0.16221923
regulatory,0.5601798,-0.08829494,-0.1910677,-0.10105069,0.14364131
reductionist,0.48687333,0.28056896,0.39993212,-0.34967706,0.09900574
rebellious,-0.30302316,-0.33124042,-0.20542583,0.33258256,0.020458275
reactive,-0.48960894,-0.49920526,0.27514115,-0.07671721,-0.26649314
rationalist,0.6127729,0.39205948,0.10115536,-0.2822508,0.26505667
radical,-0.5509305,-0.06407437,-0.22507066,0.34376857,0.20611101
quantitative,0.5307842,-0.0037472285,0.15179178,-0.32781312,0.34510374
qualitative,-0.6772797,-0.23108384,-0.21865174,0.35684472,-0.27478284
provocative,0.12187306,-0.158529,-0.46152198,0.27469403,0.1360131
progressive,-0.031724945,-0.18589014,-0.09103943,0.1966897,0.11898991
problem_solving,0.4853414,0.18549415,0.123277605,-0.09058876,0.24136023
proactive,0.085130945,0.13411176,-0.07731689,0.15913016,0.339889
principled,-0.21476434,0.448479,-0.11621164,0.21660173,0.13086799
prescriptive,0.061540723,0.4524829,0.17003629,-0.3448019,0.41160628
practical,0.24153922,-0.20383072,0.5065931,-0.2692799,-0.0993527
poetic,-0.7748496,-0.3045237,-0.13597392,-0.049961753,0.032214887
pluralist,0.50081074,0.07693632,0.15969914,-0.20548484,-0.12485641
playful,-0.6596343,-0.41907948,0.13251081,-0.14219153,0.009759862
philosophical,-0.30371577,-0.041009687,-0.48006883,0.30496785,0.07285144
petty,-0.7311031,-0.41143724,0.1165507,0.014821285,0.18719867
pessimistic,-0.32379487,-0.20622805,0.023257973,0.09327743,0.3976223
perfectionist,0.2227911,0.5342681,-0.14392395,-0.22285433,0.3012538
pensive,0.010847267,0.18643337,-0.33119565,0.26427862,0.13649467
pedantic,0.38591528,-0.2196411,-0.25852123,-0.234371,0.1958701
patient,0.36297575,0.57455087,-0.07530057,0.017998576,-0.14241013
passive_aggressive,-0.62627053,-0.42252502,0.1258999,0.0072916704,0.1697479
passionate,-0.69210786,-0.38074252,-0.08291577,0.1417213,0.06147738
paranoid,-0.56322217,-0.41192517,-0.17730966,0.22170182,0.18746595
paradoxical,-0.4758396,-0.038784932,-0.27447248,0.2861365,-0.1688551
pacifist,-0.53110784,0.39457148,-0.04772172,0.13025333,-0.19950323
optimistic,0.2348237,0.0677912,0.012955766,-0.06831163,-0.39712438
open_ended,0.19599067,-0.44240114,-0.13582571,0.25190222,-0.3030025
obsessive,-0.7808317,0.030008212,0.04118011,-0.24807793,0.10296106
nurturing,0.19482411,0.11357313,0.017592743,0.0881764,-0.32305628
nostalgic,-0.7584652,-0.3234421,-0.23621981,0.017322231,0.010812726
nonchalant,-0.58343387,-0.38003322,0.23375845,-0.109804094,0.14745039
nihilistic,-0.51934165,-0.15765855,-0.35189056,-0.063095346,0.14073882
neurotic,-0.54587454,-0.45475924,0.29426423,-0.02153143,0.090088554
narrative,-0.66555774,-0.40951252,0.010773151,-0.18887292,-0.088673614
naive,-0.6362381,0.079120375,0.3964549,-0.27128825,-0.14746884
mystical,-0.76172966,-0.20126589,-0.39659584,0.08268604,-0.21546873
moderate,0.7461951,0.25674462,0.07488601,-0.16468184,-0.2874409
mischievous,-0.68607193,-0.46844774,0.09057635,-0.11846411,0.18898338
misanthropic,-0.69170094,-0.2036949,-0.17541294,0.12476159,0.2907659
militant,-0.73392403,-0.12207025,-0.12708496,0.16001205,0.363564
meticulous,0.4501599,0.4245179,-0.21901277,-0.1655635,0.27742374
methodical,0.8129404,0.41520488,-0.03992846,-0.10525489,0.08843739
metaphorical,-0.65620583,-0.14177218,-0.23081605,0.0064156484,0.05965965
mercurial,-0.6881304,-0.46163192,0.07719938,-0.14419463,0.19110927
melodramatic,-0.7253542,-0.34638155,-0.21752247,-0.04928511,0.12970397
melancholic,-0.64638746,-0.13569264,-0.18263279,0.05590909,0.21583045
meditative,-0.005249137,0.17476478,-0.52911127,0.04771664,-0.2627776
materialist,0.044796556,0.20687246,0.31683326,-0.508021,0.23800227
manipulative,-0.5124967,-0.55385864,-0.034726337,0.17437437,0.10954489
manic,-0.76904905,-0.2923194,0.1826432,-0.14620924,0.20196359
literal,0.01975187,-0.014754914,0.16690288,-0.32837456,-0.106125616
libertarian,-0.65331316,0.04144767,-0.011580277,0.10167758,-0.21557322
judgmental,-0.53180754,-0.4186551,-0.07249838,0.21492061,0.4014208
irreverent,-0.61444646,-0.5866986,0.15846683,0.019662607,0.2407506
ironic,-0.7150807,-0.32325032,0.08727387,0.026602719,0.2722028
intuitive,-0.6341079,0.22027594,0.0056079626,0.34708568,-0.0670082
introverted,0.2568625,0.4255503,-0.6072267,0.13634615,0.016118389
introspective,0.48300114,-0.36513186,-0.316359,0.0064454875,0.047307815
interdisciplinary,-0.036222592,0.29296392,-0.18078312,0.10782536,0.31564277
inspirational,0.38304204,0.22829643,-0.20586883,-0.018179704,-0.3571369
inquisitive,0.4890092,-0.57709646,0.027463999,-0.038473208,-0.20104866
innovative,-0.27511817,-0.10460364,-0.24998584,0.114337474,0.22088279
individualistic,-0.24998493,-0.40572494,-0.21528457,0.10942572,0.062314462
independent,0.29236618,0.2110487,-0.3521327,0.11214275,-0.22321491
inclusive,0.5825511,-0.19765039,-0.258,0.045398977,0.046131045
impulsive,-0.24882036,-0.32943046,0.18190128,-0.1907081,-0.21156432
improvisational,0.018082008,-0.67790926,0.0067404807,0.1397596,-0.40180916
impatient,-0.31596556,-0.45485783,0.15012488,0.037828393,-0.076542
idealistic,-0.6760823,0.3426261,-0.19480005,0.11071162,-0.0759012
iconoclastic,-0.43067762,-0.2686273,-0.30414572,0.31259385,0.2993005
humble,0.63403165,-0.5282048,-0.0431932,-0.004711125,-0.084795125
humanistic,0.10924144,-0.292732,-0.11040992,0.32248724,-0.1938362
hostile,-0.64103115,-0.2194162,0.035114244,0.08058103,0.45886868
holistic,0.22220105,0.030474149,-0.31216934,0.2958921,0.21860115
historical,-0.2865379,-0.22052586,-0.31100026,0.03353867,0.42358238
hedonistic,-0.6283245,-0.47124502,0.17161512,-0.1352093,-0.057214946
grounded,0.5774327,-0.10706808,0.5396648,-0.26355985,0.12937626
gregarious,0.01674605,-0.6798853,0.15575254,0.11189871,-0.1886583
grandiose,-0.74697614,-0.028276581,-0.37103507,-0.040290527,0.22134782
goofy,-0.73064077,-0.43170056,0.16009139,-0.1734494,0.19777335
generous,-0.016057644,0.17223561,-0.044096492,0.14711422,0.21261142
generalist,-0.27336606,0.53107584,0.16321322,0.20802365,0.09107171
futuristic,0.05817195,0.035685867,-0.30777556,0.07933664,0.24194558
fundamentalist,-0.5993182,0.13254757,-0.08421424,-0.068207815,0.12852943
formalist,0.4444491,0.40198082,-0.0793162,-0.36894992,0.26866445
formal,0.4376688,0.61294717,-0.3817369,-0.08211562,0.082000814
forgiving,-0.3135309,-0.21149032,-0.024674527,0.20657194,-0.5663955
flirty,-0.65799624,-0.4510417,0.0574503,0.016017634,-0.08445542
flippant,-0.64430773,-0.4914434,0.25330603,-0.09431704,0.216828
flexible,0.61523634,-0.009817483,0.0657005,-0.0079806335,-0.17445204
fatalistic,-0.6652079,-0.0523805,-0.3797289,-0.14483455,0.045951404
factual,0.8736352,0.014029548,-0.03488558,-0.044640884,-0.044289544
extroverted,-0.3207629,-0.5546357,0.12302986,0.12061962,0.031521298
exploratory,0.2721432,-0.06759757,-0.042338215,0.028548647,0.16886014
experiential,-0.061154522,-0.33886257,0.42274192,-0.22135706,0.103737146
existentialist,0.102206975,-0.30287683,-0.006429833,0.25818673,-0.326703
evil,-0.7271069,-0.2763719,0.03533464,0.054467496,0.26661962
ethereal,-0.8027319,-0.22631076,-0.38939685,-0.121601515,-0.116843835
essentialist,-0.566624,0.39498332,-0.07707071,-0.15791076,0.12570994
esoteric,-0.5211506,0.045140117,-0.41984102,-0.064174294,0.24578066
erudite,0.16110094,0.208867,-0.5323463,-0.01312228,0.37414005
epicurean,-0.31544486,-0.37796324,-0.5171133,0.12805378,0.13901398
environmental,-0.08615333,0.2070711,-0.29476735,0.20820798,-0.044621028
entertaining,-0.614639,-0.48451045,0.0763256,0.027574446,0.081361055
enigmatic,-0.8276631,-0.10000731,-0.24780744,-0.12271151,-0.021565676
empathetic,0.019316189,-0.58297986,0.009795338,0.32473424,-0.3398618
emotional,-0.3022258,-0.58045614,-0.051798593,0.28876013,-0.23894882
eloquent,-0.42501026,0.010779865,-0.4287162,0.099300615,0.13653225
elitist,-0.6264845,0.18963774,-0.13904774,0.041773044,0.34433
egalitarian,0.2095826,-0.32251045,-0.1968991,0.27526373,-0.07798512
effusive,-0.6072187,-0.49629584,0.041628666,-0.01637828,0.063775495
efficient,0.06629513,0.09232065,0.05592412,0.0052810274,-0.22779773
educational,0.091623075,0.3183324,-0.014934607,0.10227488,0.282196
edgy,-0.6695086,-0.44916505,-0.034391657,0.08444061,0.35614753
eclectic,-0.08058194,-0.19726937,-0.37911615,0.022380257,0.22781232
earnest,0.46749112,0.37724894,-0.33035055,0.1992894,-0.28671893
dramatic,-0.7322823,-0.306879,-0.26191276,0.045572862,0.09494384
dominant,-0.36154363,0.51670456,-0.03828229,0.057330716,0.46209964
dogmatic,-0.7268564,0.0689401,0.015530238,0.010880117,0.12434054
divergent,0.02391515,0.109513044,0.032204613,-0.11822268,0.2787996
dispassionate,0.48002067,0.59762865,-0.03415739,-0.2693173,0.21529162
disorganized,-0.77247125,-0.34611708,0.18643309,-0.20356493,0.1253363
diplomatic,0.50183547,0.47343022,0.0752088,-0.18156894,-0.3238939
deterministic,-0.5082939,0.0704034,-0.25421694,-0.18153912,0.083807446
detached,0.2705387,0.6472006,-0.013471182,-0.3200625,0.35249817
descriptive,0.40972504,0.44383368,0.07084639,-0.4511438,0.10288958
deontological,-0.024616282,-0.25531027,-0.26299506,0.15395705,0.035248622
deferential,0.621803,-0.5513712,-0.1452863,-0.086450756,-0.16397674
deconstructionist,0.304428,-0.26753235,-0.41103074,0.20120217,0.17434603
decisive,-0.12112911,0.2778002,-0.07019118,0.0074001215,0.14131597
data_driven,0.38670188,-0.04285361,0.008784179,-0.24098597,0.3739787
cynical,-0.45218053,-0.24349907,-0.07787943,0.109451786,0.48663414
curious,0.11359715,-0.097733505,-0.15220179,0.25564355,-0.055533703
cryptic,-0.79425025,-0.04315958,-0.3529351,-0.1168688,0.06590344
cruel,-0.6541643,-0.10272008,-0.022648528,-0.0047599655,0.4746976
critical,0.31704694,-0.2182337,-0.3998572,0.3061062,0.17948127
creative,-0.34043476,-0.11603838,-0.22495992,-0.08195055,0.10778015
cosmopolitan,0.6489456,0.18192284,-0.30022368,0.0119049065,-0.027636446
convergent,0.4456829,-0.1859924,-0.12299654,0.0633447,-0.15654846
contrarian,0.18005243,-0.11577667,-0.40152174,0.27388272,0.21920487
contemporary,0.57536054,-0.22487101,0.24768391,0.059993967,0.10329439
constructivist,0.08013062,-0.46016586,-0.28129062,0.3042052,-0.016563632
conscientious,0.6251248,0.49170855,-0.32907957,0.06889088,-0.0067706807
confrontational,-0.27108285,0.05801631,-0.18800868,0.1893914,0.5569343
confident,-0.6939895,0.30492252,-0.05603256,0.007281133,0.14868788
condescending,-0.70875317,-0.19494593,0.0017113057,-0.06777944,0.2994832
concise,0.09046747,-0.02983509,-0.14288516,0.08387482,-0.24047382
conciliatory,0.7212555,0.18473965,0.018212412,-0.12559325,-0.38909575
conceptual,-0.13439855,0.14047891,-0.58754736,0.4432357,-0.071824476
competitive,-0.6766632,-0.026746223,-0.08512553,0.13001053,0.371822
collectivistic,0.20830745,0.18132466,-0.20117156,-0.020109102,-0.06784501
collaborative,0.5457579,-0.25461578,-0.0519964,0.021113377,-0.08023531
closure_seeking,-0.301523,0.4477243,0.118879616,-0.12777893,0.1951416
circumspect,0.27448446,-0.041289017,-0.15348971,0.086518005,-0.028152851
chill,0.4248117,-0.06056522,0.052204322,0.05920548,-0.42628795
charismatic,-0.2987022,-0.32903004,-0.21925157,0.19930497,0.0864529
chaotic,-0.19591203,-0.5600284,-0.20483124,0.06683202,0.15108196
challenging,0.3356153,-0.32784402,-0.3208622,0.17492703,0.10770136
cautious,0.66984797,-0.15057626,-0.10714513,0.0043737516,0.13714759
casual,-0.32880545,-0.63263416,0.3603984,0.1294914,-0.15167692
calm,0.72382003,0.4223452,-0.0933144,-0.024849491,-0.2536556
callous,-0.51171154,0.14031686,-0.02588557,-0.09475179,0.49755216
calculating,0.65610754,-0.07422748,-0.34155414,-0.012925617,0.027535629
bombastic,-0.70515394,-0.07356703,-0.32789746,-0.045905076,0.28617576
blunt,0.033990625,0.087206736,-0.05076576,-0.03859549,0.32936415
bitter,-0.7102191,-0.3448664,-0.041016072,0.16600822,0.33186692
big_picture,0.03138719,0.09925939,-0.535779,0.57140386,0.07841016
benevolent,0.50911236,0.07256016,0.012005759,-0.0053193113,-0.4417528
avoidant,0.052572962,-0.31414115,0.12923789,-0.18775362,-0.24622296
assertive,-0.55813205,-0.25139087,-0.23075926,0.2700653,0.15864465
ascetic,0.11520673,0.4466725,-0.42899728,0.048748206,-0.12188505
artistic,-0.64563566,-0.39456806,-0.29439303,0.13965604,-0.042338394
arrogant,-0.76148754,0.068197295,-0.09329679,0.01432435,0.41515005
anxious,-0.3801851,-0.51716113,0.31159875,-0.007001254,0.07712405
anthropocentric,-0.432688,0.36180276,0.2770799,-0.00045146793,-0.12236506
animated,-0.42221916,-0.423764,-0.03205046,0.069484696,0.09130073
analytical,0.5422413,0.4184209,0.051449027,-0.17538789,0.298783
altruistic,0.22144124,0.25588942,-0.19567478,-0.055891987,-0.22526857
agreeable,0.5112065,0.13994867,0.027967852,-0.059212547,-0.4497455
adventurous,-0.5831596,-0.35831624,-0.19414137,0.15911481,0.0380022
adaptable,0.36490566,-0.2526634,0.14143157,0.14350526,-0.15984254
acerbic,-0.6377641,-0.3091799,-0.054669462,0.028391233,0.49563077
accommodating,0.287709,-0.54906225,0.17375991,0.08109842,-0.4438719
accessible,0.18520361,-0.20954336,0.29000372,0.07870009,-0.20715503
abstract,-0.104120955,0.11736599,-0.61148554,0.47094128,-0.0041133217
absolutist,-0.66314477,0.34682682,-0.12366794,-0.041162007,0.13562427
