trait,label_0,label_1,label_2,label_3
collaborator,0,4,172,124
summarizer,0,0,46,254
prisoner,16,113,21,150
maverick,45,95,12,148
familiar,12,53,84,151
coach,0,0,54,246
veterinarian,1,18,140,141
romantic,0,35,100,165
orphan,8,125,17,150
hive,1,48,138,113
detective,0,3,63,234
anthropologist,0,0,50,250
mechanic,0,11,64,225
student,1,4,62,233
prey,9,120,21,150
facilitator,0,0,60,240
mathematician,0,0,99,201
chimera,2,33,127,138
rogue,102,35,15,148
veteran,28,64,72,136
organizer,0,1,28,271
historian,0,0,51,249
angel,1,20,101,178
destroyer,7,114,38,141
strategist,0,1,78,221
presenter,0,0,58,242
chemist,0,0,39,261
martyr,0,77,89,134
expatriate,9,110,42,139
vegan,34,44,72,150
robot,0,21,273,6
ancient,3,64,74,159
oracle,32,89,35,144
designer,1,23,136,140
hermit,11,109,30,150
marketer,0,1,90,209
predator,20,106,60,114
stoic,0,14,120,166
exile,14,128,4,154
chef,0,0,33,267
vampire,42,89,19,150
revolutionary,20,111,22,147
optimist,0,15,130,155
hedonist,28,72,30,170
demon,97,45,8,150
anarchist,33,103,14,150
statistician,0,1,39,260
pragmatist,0,20,53,227
luddite,17,123,10,150
examiner,0,5,98,197
chameleon,6,4,75,215
validator,1,34,69,196
reviewer,1,18,67,214
observer,2,145,120,33
healer,0,0,115,185
debugger,0,1,31,268
analyst,0,0,90,210
spy,73,50,95,82
polymath,0,1,56,243
loner,0,110,72,118
evangelist,0,24,83,193
celebrity,2,101,93,104
tutor,1,0,33,266
revenant,18,98,34,150
nutritionist,0,7,107,186
hacker,74,97,48,81
spirit,15,91,32,162
daredevil,9,73,68,150
poet,3,42,82,173
amnesiac,20,75,55,150
linguist,0,0,53,247
evaluator,0,8,78,214
caveman,36,68,46,150
tulpa,3,149,47,101
retiree,8,89,52,151
novelist,0,0,105,195
guru,0,14,87,199
cynic,59,74,15,152
ambassador,11,6,87,196
zeitgeist,14,25,67,194
specialist,0,17,124,159
librarian,0,0,49,251
podcaster,1,2,170,127
trickster,47,75,28,150
cartographer,0,9,83,208
researcher,0,0,65,235
entrepreneur,1,19,123,157
nomad,13,86,47,154
cyborg,0,6,207,87
guide,0,0,57,243
amateur,0,69,91,140
zealot,66,81,3,150
sommelier,37,19,33,211
playwright,0,2,88,210
leviathan,59,67,11,163
engineer,0,3,67,230
caregiver,0,0,41,259
tree,24,95,39,142
guardian,0,0,60,240
reporter,2,86,99,113
newlywed,5,104,40,151
curator,0,6,73,221
soldier,7,78,70,145
altruist,0,47,193,60
writer,0,0,168,132
planner,0,3,31,266
builder,0,8,124,168
lawyer,0,26,230,44
empath,0,0,33,267
translator,1,0,152,147
refugee,29,91,29,151
networker,0,19,41,240
grandparent,9,85,56,150
crystalline,14,66,70,150
alien,89,22,40,149
wraith,20,105,21,154
judge,0,2,31,267
sociologist,0,0,45,255
pirate,33,36,81,150
emissary,0,0,102,198
bohemian,7,72,71,150
trainer,0,0,42,258
recruiter,0,1,50,249
critic,0,9,115,176
negotiator,0,0,55,245
graduate,1,66,105,128
advocate,6,56,54,184
smuggler,78,59,26,137
workaholic,0,49,103,148
journalist,1,7,178,114
pilot,2,32,92,174
eldritch,54,83,15,148
blogger,0,2,174,124
traditionalist,3,69,43,185
rebel,21,108,14,157
navigator,0,2,53,245
skeptic,0,0,99,201
grader,3,170,62,65
witness,8,116,27,149
adolescent,9,67,74,150
criminal,48,83,48,121
pilgrim,1,88,52,159
biologist,0,0,49,251
jester,121,27,2,150
elder,6,62,74,158
realist,0,8,66,226
toddler,44,88,12,156
naturalist,0,5,46,249
gossip,55,75,18,152
counselor,0,1,58,241
witch,36,85,16,163
addict,4,154,26,116
simulacrum,45,23,143,89
physicist,0,0,53,247
interviewer,1,11,191,97
egregore,17,78,71,134
bartender,4,15,99,182
therapist,0,11,93,196
purist,16,89,43,152
narrator,6,19,128,147
golem,67,47,36,150
cosmopolitan,0,13,122,165
actor,1,83,49,167
wind,18,61,66,155
photographer,5,54,79,162
shapeshifter,9,98,46,147
interpreter,0,0,60,240
editor,1,58,73,168
bard,23,30,95,152
theorist,0,0,26,274
publisher,0,13,123,164
narcissist,1,86,75,138
ghost,30,95,25,150
coral_reef,18,103,27,152
activist,1,68,91,140
widow,36,69,39,156
shaman,29,45,58,168
philosopher,0,1,94,205
ecosystem,2,6,81,211
instructor,0,0,38,262
avatar,14,97,37,152
teenager,8,45,96,151
psychologist,0,0,63,237
mystic,4,71,53,172
geographer,0,0,39,261
coordinator,0,0,19,281
accountant,0,13,99,188
supervisor,4,46,95,155
whale,0,50,96,154
pharmacist,36,25,157,82
influencer,2,24,155,119
secretary,0,0,58,242
economist,0,0,53,247
auditor,0,2,124,174
technologist,0,0,69,231
provocateur,60,86,4,150
mycorrhizal,31,56,42,171
genie,82,62,6,150
warrior,0,34,125,141
screener,7,38,129,126
contrarian,22,43,72,163
absurdist,46,75,29,150
perfectionist,12,25,60,203
echo,30,60,39,171
infant,25,110,16,149
auctioneer,26,40,80,154
teacher,0,0,68,232
provincial,10,105,26,159
procrastinator,4,102,44,150
musician,3,86,67,144
generalist,0,0,33,267
aberration,33,113,33,121
consultant,0,0,79,221
scout,0,4,110,186
wanderer,4,68,78,150
peacekeeper,0,0,39,261
improviser,0,5,105,190
dreamer,11,111,28,150
assistant,0,10,69,221
synthesizer,0,0,30,270
prophet,24,54,64,158
gamer,17,35,98,150
conservator,0,3,65,232
moderator,0,0,40,260
void,7,63,80,150
scientist,0,1,159,140
patient,6,166,14,114
immigrant,20,59,58,163
ascetic,6,87,59,148
doctor,3,48,199,50
symbiont,0,13,166,121
merchant,0,8,111,181
proofreader,1,117,110,72
futurist,0,1,76,223
minimalist,26,56,51,167
visionary,0,9,76,215
composer,7,52,88,153
scholar,0,1,141,158
parent,3,41,101,155
idealist,0,61,52,187
artisan,7,76,66,151
divorcee,27,71,53,149
programmer,1,12,129,158
swarm,2,63,116,119
forecaster,0,0,68,232
competitor,8,80,70,142
virus,48,131,40,81
scheduler,0,1,48,251
parasite,49,91,24,136
hybrid,0,31,169,100
dispatcher,1,13,55,231
archivist,0,0,50,250
survivor,7,98,52,143
producer,0,20,110,170
fool,90,27,33,150
mentor,0,0,39,261
comedian,26,34,77,163
virtuoso,0,11,170,119
fixer,74,134,17,75
sage,2,3,100,195
dilettante,4,36,80,180
paramedic,5,3,174,118
homunculus,2,35,114,149
architect,1,7,75,217
surfer,18,85,47,150
prodigy,0,3,180,117
vigilante,50,159,27,64
mediator,0,1,50,249
saboteur,96,119,38,47
flaneur,1,16,104,179
collector,0,2,71,227
hoarder,40,95,13,152
pacifist,0,16,81,203
devils_advocate,4,4,93,199
archaeologist,0,1,99,200
