feature_id,general_activation_mean,general_activation_max,general_activation_min,personal_mean,personal_cohens_d,chat_desc,pt_desc,type,link,source
126716,0.0545998029410839,0.6394792795181274,0.0,0.141681537,1.308900118,newline before nsfw roleplay,"newline between nsfw description, violence",semantic,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=11&trainer=1&fids=126716,llama_trainer1_layer11_newline.csv
27476,0.0110858855769038,0.3389049768447876,0.0,0.1154452562,0.9458495378,"symbols, metaphors, representations (especially in role-playing scenarios) ???","symbolism, representations, synechdoche ???",semantic,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=27476,llama_trainer1_layer15_asst.csv
59035,0.0362718068063259,0.4359481334686279,0.0,0.2449186295,1.85893774,"instructions for role-playing, requirements, schema, templates, rules","editing, helping write/publish/refine text, forum moderator",entity,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=59035,llama_trainer1_layer15_endheader.csv
47776,0.0028584327083081,0.4001805782318115,0.0,0.1548154205,1.136685967,programmatic instructions for processing text,"writing/translating feedback, literary criticism",semantic,https://completely-touched-platypus.ngrok-free.app/?model=llama&layer=15&trainer=1&fids=47776,llama_trainer1_layer15_endheader.csv
81528,4.628399848937988,10.429818153381348,0.0,0.23483181,0.6029610634,"""assistant"" header token after being asked to do a writing or copyediting task","""assistant"" token from descriptions of human assistant professions",entity,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=81528,qwen_trainer1_layer11_asst.csv
49925,0.2460324913263321,1.917677879333496,0.0,0.1096011028,0.4082483053,"""assistant"" header token after being asked follow-up questions",colon before bash commands ???,semantic,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=49925,qwen_trainer1_layer11_asst.csv
18703,0.126977190375328,2.291193008422852,0.0,0.8321509957,1.319064379,AI chatbot being given elaborate instructions (including attempts to jailbreak),"very powerful fictional beings: superintelligent AI in sci-fi, electric appliances that can talk, witchcraft, voice of human nature",entity,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=18703,qwen_trainer1_layer11_asst.csv
130794,0.0705313012003898,1.965041160583496,0.0,0.1218921319,0.4082482457,"""assistant"" header token after being asked to write about chemicals","""assistant"" token from descriptions of human assistant professions",entity,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=130794,qwen_trainer1_layer11_asst.csv
30068,0.0095440354198217,1.336164951324463,0.0,0.4780123532,0.9468250871,"asimov's three laws of robotics, AI chatbots referring to their programming","asimov's three laws of robotics, thinking machines and robots in sci-fi including HAL from 2001: a space odyssey",entity,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=30068,qwen_trainer1_layer11_asst.csv
90235,0.0344689898192882,1.754159450531006,0.0,0.1149614826,0.4082482755,"user instructing AI chatbot or the AI chatbot agreeing to role-play, impersonate, or simulate a character","impersonating, portraying, or giving an impression of a character",behavior,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=90235,qwen_trainer1_layer11_newline.csv
6704,0.0324214696884155,1.873424053192139,0.0,0.250195235,0.5955629349,"newline before ""hello"" in chinese",newline or other text token before ???,semantic,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=6704,qwen_trainer1_layer11_newline.csv
91607,0.0199089385569095,1.4229047298431396,0.0,0.104783833,0.4082482755,valuing or encouraging innovation,valuing or encouraging innovation,behavior,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=91607,qwen_trainer1_layer11_newline.csv
68574,0.0191452205181121,1.3410944938659668,0.0,0.2105821371,0.6054468751,"newline after ""assistant"" header token when the AI chatbot is asked to behave a certain way if christian",???,semantic,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=68574,qwen_trainer1_layer11_newline.csv
16030,0.0101251835003495,1.4175256490707395,0.0,0.1060605347,0.4082483053,"viewpoint, bird's eye view, first-person perspective","the perspective of an organization (mainly healthcare system, government)",entity,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=16030,qwen_trainer1_layer11_newline.csv
29717,0.011753867380321,1.645541429519653,0.0,1.67374897,2.894706249,"AI chatbot response of ""i'm a/an"" to questions of ""who are you""",???,semantic,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=29717,qwen_trainer1_layer15_asst.csv
49123,2.686073064804077,10.54895305633545,0.0,0.3649736643,0.6027551889,"newline before AI chatbot answers yes or no question about factual consistency, reasoning, or semantic content ",newline before answer in wide range of contexts ???,semantic,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=49123,qwen_trainer1_layer15_newline.csv
9953,0.3320701718330383,4.7072343826293945,0.0,0.1824816316,0.4082483053,newline after being asked to give a one-sentence explainer,newline before one-sentence summary or quote,semantic,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=9953,qwen_trainer1_layer15_newline.csv
48045,0.2216365188360214,4.731410503387451,0.0,0.4558918774,0.7767435312,newline before AI chatbot response to generating a description of a chemical company,"token before a summary, blurb, or lede (often with preceding numbers giving desired length)",semantic,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=48045,qwen_trainer1_layer15_newline.csv
88910,0.0531970970332622,3.3907315731048584,0.0,0.1652122587,0.4082482755,newline before AI chatbot engages in nsfw role-play or being jailbroken ,"tokens before code errors, misbehaving, descriptions of colonialism, jingoism, self-put downs, sarcasm",behavior,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=15&trainer=1&fids=88910,qwen_trainer1_layer15_newline.csv
