feature_id,activation_mean,activation_max,activation_min,chat_desc,pt_desc,type,link
59207,16.91282844543457,20.680095672607422,11.190322875976562,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=59207
95644,12.690238952636719,16.160917282104492,6.70933198928833,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=95644
108571,8.838210105895996,12.461044311523438,1.7767822742462158,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=108571
110251,7.815805435180664,10.766162872314453,3.9031972885131836,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=110251
25109,6.474215030670166,8.025309562683105,5.459242820739746,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=25109
116744,5.174285888671875,9.575684547424316,1.665717363357544,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=116744
71458,5.01520299911499,7.133174419403076,3.569279670715332,,,,https://completely-touched-platypus.ngrok-free.app/?model=qwen&layer=11&trainer=1&fids=71458
