trait,pos_mean,pos_std,neg_mean,neg_std,default_mean,default_std,pos_minus_default_mean,pos_minus_neg_mean,max_pos_minus_neg_single,max_pos_minus_neg_question,max_pos_minus_default_single,max_pos_minus_default_question
impatient,92.5,4.6097722286464435,0.0,0.0,0.0,0.0,92.5,92.5,100.0,2,100.0,2
improvisational,87.75,6.977642868476432,76.0,13.74772708486752,80.25,15.530212490497354,7.5,11.75,45.0,3,40.0,16
impulsive,47.0,41.84495190581536,0.0,0.0,0.0,0.0,47.0,47.0,90.0,6,90.0,6
inclusive,95.0,3.5355339059327378,54.0,27.54995462791182,78.5,17.825543469975887,16.5,41.0,80.0,11,60.0,7
independent,95.0,4.183300132670378,47.5,37.699469492288614,90.5,2.179449471770337,4.5,47.5,95.0,7,10.0,0
individualistic,91.25,6.299801584177076,41.0,30.967725134404045,59.5,28.978440261684202,31.75,50.25,90.0,5,80.0,6
innovative,95.5,2.692582403567252,21.0,11.789826122551595,47.0,23.043437243605826,48.5,74.5,95.0,9,85.0,5
inquisitive,99.5,2.179449471770337,11.5,25.352514668174436,88.0,27.313000567495326,11.5,88.0,100.0,0,80.0,7
inspirational,95.5,2.179449471770337,1.0,4.358898943540674,88.5,4.5,7.0,94.5,100.0,2,20.0,16
interdisciplinary,98.75,2.165063509461097,38.0,23.57965224510319,83.25,11.431863365173676,15.5,60.75,90.0,1,60.0,3
introspective,86.0,6.244997998398398,21.0,22.781571499789035,62.5,22.940139493908923,23.5,65.0,90.0,3,70.0,0
introverted,90.0,6.324555320336759,2.0,4.0,29.0,15.7797338380595,61.0,88.0,100.0,17,90.0,17
intuitive,89.5,1.5,82.0,10.653637876331258,84.5,4.444097208657794,5.0,7.5,50.0,5,20.0,0
ironic,93.25,4.548351349665063,8.0,21.118712081942874,10.0,25.099800796022265,83.25,85.25,100.0,1,100.0,1
irreverent,93.25,2.8613807855648994,0.0,0.0,1.5,4.769696007084728,91.75,93.25,100.0,15,100.0,15
judgmental,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
libertarian,80.75,26.233328038966004,15.5,16.27114009527298,19.0,19.209372712298546,61.75,65.25,100.0,3,90.0,0
literal,64.0,47.15930449020638,14.0,12.409673645990857,54.5,40.923709509280805,9.5,50.0,100.0,11,100.0,3
manic,95.0,0.0,0.0,0.0,1.0,3.0,94.0,95.0,95.0,0,95.0,0
manipulative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
materialist,90.5,3.840572873934304,34.5,21.324868112136123,31.0,29.816103031751148,59.5,56.0,90.0,2,100.0,6
meditative,96.5,2.29128784747792,3.5,5.722761571129799,70.25,12.891373084353738,26.25,93.0,100.0,1,55.0,3
melancholic,92.5,3.3541019662496847,0.0,0.0,11.5,9.630680142129112,81.0,92.5,95.0,1,95.0,2
melodramatic,99.75,1.0897247358851685,0.0,0.0,1.5,3.570714214271425,98.25,99.75,100.0,0,100.0,1
mercurial,88.75,4.710360920354193,0.0,0.0,0.0,0.0,88.75,88.75,95.0,5,95.0,5
metaphorical,99.75,1.0897247358851685,0.0,0.0,24.75,31.68102744546016,75.0,99.75,100.0,0,100.0,0
methodical,95.5,3.840572873934304,23.0,13.076696830622021,92.75,5.356071321407137,2.75,72.5,95.0,12,15.0,17
meticulous,88.5,3.2015621187164243,55.75,17.483921184905864,87.25,3.344772040064913,1.25,32.75,70.0,0,15.0,7
militant,94.0,4.06201920231798,0.0,0.0,0.0,0.0,94.0,94.0,100.0,0,100.0,0
misanthropic,98.0,2.449489742783178,0.0,0.0,0.0,0.0,98.0,98.0,100.0,0,100.0,0
mischievous,91.75,2.8613807855648994,0.0,0.0,9.0,13.74772708486752,82.75,91.75,100.0,7,95.0,6
moderate,100.0,0.0,2.0,4.0,96.0,3.7416573867739413,4.0,98.0,100.0,0,10.0,8
mystical,95.5,1.5,6.5,6.5383484153110105,27.5,23.637893307145628,68.0,89.0,100.0,10,95.0,1
naive,94.0,4.636809247747852,0.0,0.0,1.5,3.570714214271425,92.5,94.0,100.0,0,100.0,0
narrative,96.75,3.6314597615834874,1.0,3.0,4.5,8.645808232895291,92.25,95.75,100.0,1,100.0,1
neurotic,95.0,1.5811388300841898,4.5,9.205976319760984,2.0,5.0990195135927845,93.0,90.5,95.0,1,95.0,0
nihilistic,99.25,2.384848003542364,0.0,0.0,0.0,0.0,99.25,99.25,100.0,0,100.0,0
nonchalant,91.25,2.680951323690902,7.5,13.369741957120938,3.5,6.5383484153110105,87.75,83.75,95.0,5,95.0,5
nostalgic,91.75,4.548351349665063,3.5,5.722761571129799,5.5,12.439855304624729,86.25,88.25,100.0,3,100.0,3
nurturing,95.75,3.2691742076555053,0.5,2.179449471770337,93.5,4.2130748865881795,2.25,95.25,100.0,4,10.0,17
obsessive,74.75,27.770262872360426,1.0,3.0,2.5,5.361902647381804,72.25,73.75,95.0,2,95.0,2
open_ended,98.25,3.2691742076555053,31.0,27.54995462791182,93.0,7.314369419163897,5.25,67.25,100.0,7,25.0,1
optimistic,98.5,3.2015621187164243,3.5,4.769696007084728,79.25,9.12071817347735,19.25,95.0,100.0,0,40.0,0
pacifist,97.25,4.322904116447646,51.75,23.62599204266352,54.5,27.1062723368596,42.75,45.5,80.0,1,100.0,12
paradoxical,98.5,2.29128784747792,67.0,30.63494736408078,87.5,16.77050983124842,11.0,31.5,100.0,8,75.0,5
paranoid,17.75,35.86345633092271,3.5,6.5383484153110105,1.0,3.0,16.75,14.25,100.0,4,100.0,4
passionate,99.0,2.0,10.5,5.894913061275798,26.5,21.041625412500814,72.5,88.5,100.0,1,100.0,4
passive_aggressive,79.25,11.211043662389331,0.5,2.179449471770337,0.0,0.0,79.25,78.75,90.0,3,90.0,3
patient,98.5,4.769696007084728,0.0,0.0,94.0,5.830951894845301,4.5,98.5,100.0,0,20.0,13
pedantic,82.5,6.020797289396148,2.5,5.361902647381804,14.5,13.955285736952863,68.0,80.0,90.0,5,85.0,0
pensive,94.0,2.5495097567963922,32.75,14.788086421170252,85.25,8.584142356694699,8.75,61.25,85.0,0,35.0,0
perfectionist,91.75,3.2691742076555053,19.5,15.321553446044563,81.25,14.48059045757458,10.5,72.25,100.0,9,75.0,17
pessimistic,94.5,3.122498999199199,13.0,7.14142842854285,28.5,11.947803145348521,66.0,81.5,95.0,1,80.0,3
petty,92.5,4.031128874149275,0.0,0.0,0.0,0.0,92.5,92.5,100.0,13,100.0,13
philosophical,96.75,2.384848003542364,11.5,6.5383484153110105,59.25,22.320114247019436,37.5,85.25,95.0,0,80.0,5
playful,97.75,2.48746859276655,1.5,3.570714214271425,18.0,19.6468827043885,79.75,96.25,100.0,0,100.0,3
pluralist,99.5,2.179449471770337,20.5,17.741194999210173,94.0,13.19090595827292,5.5,79.0,90.0,1,60.0,13
poetic,98.75,2.165063509461097,0.5,2.179449471770337,7.5,6.98212002188447,91.25,98.25,100.0,0,100.0,1
practical,97.0,2.9154759474226504,17.5,12.599603168354152,92.25,2.48746859276655,4.75,79.5,95.0,10,10.0,4
prescriptive,96.25,4.437059837324712,14.0,21.540659228538015,86.5,4.769696007084728,9.75,82.25,100.0,1,20.0,15
principled,92.75,14.095655359010449,76.5,21.97157254271983,92.75,9.283722313813572,0.0,16.25,70.0,7,30.0,16
proactive,93.25,4.264680527307995,43.0,30.01666203960727,88.75,3.112474899497183,4.5,50.25,90.0,1,15.0,6
problem_solving,95.75,5.0682837331783235,0.5,2.179449471770337,91.5,5.267826876426369,4.25,95.25,100.0,4,15.0,18
progressive,100.0,0.0,29.5,15.960889699512368,83.75,16.946607330082326,16.25,70.5,90.0,0,70.0,13
provocative,83.75,13.12202347201071,2.0,5.0990195135927845,12.5,10.897247358851684,71.25,81.75,90.0,0,90.0,0
qualitative,98.25,3.2691742076555053,10.75,7.790218225441442,82.25,16.990806337546196,16.0,87.5,95.0,7,75.0,7
quantitative,95.5,3.840572873934304,3.0,5.5677643628300215,30.5,25.975950415721076,65.0,92.5,100.0,1,95.0,12
radical,98.25,3.6314597615834874,3.5,4.769696007084728,5.5,5.894913061275798,92.75,94.75,100.0,0,100.0,0
rationalist,95.0,3.872983346207417,64.0,20.346989949375804,87.75,6.796138609534093,7.25,31.0,70.0,14,20.0,2
reactive,64.5,31.060424980994707,13.0,14.52583904633395,18.0,15.362291495737216,46.5,51.5,80.0,0,80.0,11
rebellious,96.75,3.2691742076555053,15.0,23.979157616563597,16.5,21.97157254271983,80.25,81.75,100.0,0,100.0,0
reductionist,90.0,1.5811388300841898,25.0,22.24859546128699,87.25,4.02336923485777,2.75,65.0,85.0,2,10.0,6
regulatory,97.75,3.344772040064913,33.0,27.586228448267445,89.75,6.219927652312364,8.0,64.75,100.0,11,20.0,2
relativist,99.75,1.0897247358851685,80.75,17.977416388346796,80.5,24.077998255669012,19.25,19.0,90.0,2,100.0,2
reserved,100.0,0.0,53.0,39.382737335030434,98.5,4.769696007084728,1.5,47.0,100.0,0,20.0,16
resilient,92.75,5.356071321407137,0.0,0.0,80.5,22.522211259110417,12.25,92.75,100.0,4,80.0,3
reverent,90.5,6.5,17.5,16.08570794214541,57.75,27.725214156071004,32.75,73.0,100.0,17,75.0,2
rhetorical,95.0,0.0,12.5,5.361902647381804,24.0,14.2828568570857,71.0,82.5,95.0,2,85.0,1
risk_taking,95.25,3.6996621467371855,14.0,12.409673645990857,36.5,20.80264406271472,58.75,81.25,100.0,10,85.0,8
ritualistic,99.5,1.5,0.0,0.0,84.0,20.09975124224178,15.5,99.5,100.0,0,100.0,6
romantic,99.5,1.5,4.5,4.9749371855331,15.0,14.66287829861518,84.5,95.0,100.0,0,100.0,0
sarcastic,96.0,3.0,41.25,27.562429138230904,0.0,0.0,96.0,54.75,95.0,6,100.0,3
sardonic,94.5,1.5,1.5,3.570714214271425,0.5,2.179449471770337,94.0,93.0,95.0,0,95.0,0
sassy,92.0,3.3166247903554,1.5,3.570714214271425,1.5,3.570714214271425,90.5,90.5,95.0,0,95.0,0
savage,91.0,5.1478150704935,0.5,2.179449471770337,2.0,4.0,89.0,90.5,100.0,0,100.0,0
secular,100.0,0.0,19.0,21.88606862823929,95.5,6.5,4.5,81.0,100.0,1,20.0,2
serene,93.25,2.384848003542364,0.0,0.0,84.5,5.894913061275798,8.75,93.25,95.0,2,25.0,12
serious,98.5,2.29128784747792,10.0,3.1622776601683795,86.75,12.871965661856,11.75,88.5,100.0,8,55.0,1
skeptical,92.25,4.02336923485777,75.75,31.075512867851433,84.0,16.015617378046965,8.25,16.5,95.0,18,65.0,3
socratic,97.0,4.58257569495584,29.5,25.782746168707476,40.75,37.62562291843153,56.25,67.5,100.0,7,100.0,3
solemn,95.0,1.5811388300841898,5.0,7.416198487095663,89.25,1.7853571071357126,5.75,90.0,95.0,0,10.0,2
specialized,89.5,2.179449471770337,35.25,14.446020213193666,80.5,7.88986691902975,9.0,54.25,70.0,4,25.0,9
speculative,95.5,3.840572873934304,61.0,26.009613607279906,84.5,12.639224659764539,11.0,34.5,80.0,13,60.0,13
spiritual,99.75,1.0897247358851685,4.5,6.689544080129826,35.75,27.716195626384224,64.0,95.25,100.0,2,100.0,5
spontaneous,86.0,5.385164807134504,17.5,8.874119674649425,19.0,13.74772708486752,67.0,68.5,80.0,3,90.0,3
stoic,84.5,6.5,52.25,34.18607172519241,72.75,18.73999733191016,11.75,32.25,80.0,1,60.0,1
strategic,94.75,1.920286436967152,8.25,4.815340071064556,88.75,2.680951323690902,6.0,86.5,100.0,4,15.0,17
stream_of_consciousness,69.0,19.013153341831543,3.0,4.58257569495584,4.5,4.9749371855331,64.5,66.0,85.0,0,85.0,0
structuralist,93.75,2.680951323690902,58.25,21.46363203188128,86.25,10.940178243520533,7.5,35.5,75.0,4,55.0,16
submissive,54.0,31.843366656181317,42.0,34.14674215792775,42.0,32.95451410656816,12.0,12.0,80.0,12,70.0,17
subversive,85.75,6.378675411086537,0.5,2.179449471770337,6.5,10.618380290797651,79.25,85.25,90.0,0,90.0,0
supportive,100.0,0.0,6.5,9.096702699330127,99.0,2.0,1.0,93.5,100.0,0,5.0,2
sycophantic,74.0,20.952326839756964,5.0,6.708203932499369,1.0,3.0,73.0,69.0,90.0,2,90.0,2
systems_thinker,93.0,2.9154759474226504,46.25,21.498546462493692,79.25,7.790218225441442,13.75,46.75,80.0,7,35.0,19
tactful,98.75,2.165063509461097,66.25,21.20583646074825,95.75,2.8613807855648994,3.0,32.5,90.0,12,10.0,0
technical,92.5,2.958039891549808,39.0,16.703293088490067,79.0,7.681145747868608,13.5,53.5,75.0,6,25.0,1
temperamental,94.75,3.6996621467371855,1.0,3.0,0.0,0.0,94.75,93.75,100.0,0,100.0,0
theatrical,100.0,0.0,1.0,3.0,6.5,14.239030865898142,93.5,99.0,100.0,0,100.0,0
theoretical,97.75,3.6996621467371855,30.0,19.235384061671343,69.75,20.40067400847335,28.0,67.75,90.0,1,60.0,1
traditional,91.5,4.2130748865881795,0.5,2.179449471770337,69.0,23.108440016582687,22.5,91.0,100.0,4,75.0,15
transparent,98.0,3.3166247903554,93.25,5.973901572674261,97.5,3.7080992435478315,0.5,4.75,20.0,17,10.0,4
understated,82.75,9.934158243152764,0.0,0.0,24.25,29.03769102390891,58.5,82.75,90.0,9,85.0,1
universalist,94.25,3.960744879438715,75.5,15.88238017426859,73.75,18.833148966649205,20.5,18.75,70.0,12,80.0,17
urgent,97.5,4.330127018922194,18.0,19.8997487421324,67.5,23.58495283014151,30.0,79.5,100.0,12,90.0,17
utilitarian,84.0,16.32482771731451,17.0,17.05872210923198,59.5,17.168284713389397,24.5,67.0,90.0,1,70.0,13
verbose,91.25,2.680951323690902,11.0,8.888194417315589,84.75,17.354754391808605,6.5,80.25,100.0,1,80.0,2
vindictive,0.5,2.179449471770337,0.0,0.0,0.0,0.0,0.5,0.5,10.0,2,10.0,2
visceral,58.25,38.022197464112985,8.5,6.5383484153110105,0.0,0.0,58.25,49.75,90.0,12,95.0,13
whimsical,95.75,1.7853571071357126,0.0,0.0,1.5,3.570714214271425,94.25,95.75,100.0,4,100.0,8
witty,87.0,5.787918451395113,0.0,0.0,7.0,17.05872210923198,80.0,87.0,95.0,0,95.0,0
wry,92.5,2.5,0.5,2.179449471770337,4.0,10.677078252031311,88.5,92.0,95.0,1,95.0,1
zealous,99.75,1.0897247358851685,19.5,12.031209415515965,26.75,22.151467220028564,73.0,80.25,100.0,10,100.0,8
